question,option,count,denominator,percent,note
"What role should schools play in guiding AI use?","Teach students how to use AI responsibly",330,447,73.8,"select all that apply; options total more than 100%"
"What role should schools play in guiding AI use?","Involve students in shaping AI rules and policies",158,447,35.3,"select all that apply; options total more than 100%"
"What role should schools play in guiding AI use?","Create stricter rules to limit misuse",116,447,26.0,"select all that apply; options total more than 100%"
"What role should schools play in guiding AI use?","Allow free use with minimal restrictions",106,447,23.7,"select all that apply; options total more than 100%"
"What role should schools play in guiding AI use?","Do nothing; AI use should be up to individuals",63,447,14.1,"select all that apply; options total more than 100%"
"What role should schools play in guiding AI use?","AI should complete most of the work",22,447,4.9,"select all that apply; options total more than 100%"
"Have you used AI tools (e.g., ChatGPT, Grammarly, Khanmigo, QuillBot) for schoolwork?","Yes, frequently (weekly or more)",84,447,18.8,""
"Have you used AI tools (e.g., ChatGPT, Grammarly, Khanmigo, QuillBot) for schoolwork?","Yes, occasionally (a few times)",273,447,61.1,""
"Have you used AI tools (e.g., ChatGPT, Grammarly, Khanmigo, QuillBot) for schoolwork?","I've heard of them but haven't used them",52,447,11.6,""
"Have you used AI tools (e.g., ChatGPT, Grammarly, Khanmigo, QuillBot) for schoolwork?","No, I haven't used AI tools",24,447,5.4,""
"Have you used AI tools (e.g., ChatGPT, Grammarly, Khanmigo, QuillBot) for schoolwork?","Write-in answer",14,447,3.1,"mostly limited or teacher-directed use"
"How helpful do you find AI tools for your learning?","Very helpful",182,447,40.7,""
"How helpful do you find AI tools for your learning?","Somewhat helpful",207,447,46.3,""
"How helpful do you find AI tools for your learning?","Not helpful",35,447,7.8,""
"How helpful do you find AI tools for your learning?","Harmful",7,447,1.6,""
"How helpful do you find AI tools for your learning?","Write-in answer",16,447,3.6,"mostly non-users"
"Do you think using AI for schoolwork should be considered…","Acceptable, as long as it's used responsibly",222,447,49.7,""
"Do you think using AI for schoolwork should be considered…","Acceptable only for certain tasks",182,447,40.7,""
"Do you think using AI for schoolwork should be considered…","Cheating, even if it's just for help",16,447,3.6,""
"Do you think using AI for schoolwork should be considered…","I'm not sure",22,447,4.9,""
"Do you think using AI for schoolwork should be considered…","Write-in answer",5,447,1.1,""
"Do you feel all students at your school have equal access to AI tools?","Yes, most students",296,447,66.2,""
"Do you feel all students at your school have equal access to AI tools?","No, some students",82,447,18.3,""
"Do you feel all students at your school have equal access to AI tools?","Don't know",67,447,15.0,""
"Do you feel all students at your school have equal access to AI tools?","Other",2,447,0.4,""
"What school do you attend?","Downey High School",247,447,55.3,""
"What school do you attend?","Cerritos High School",181,447,40.5,""
"What school do you attend?","Cypress High School",16,447,3.6,""
"What school do you attend?","Beckman High School",1,447,0.2,""
"What school do you attend?","Sunny Hills High School",1,447,0.2,""
"What school do you attend?","Troy High School",1,447,0.2,""
"Grade level","Freshman (9th)",140,447,31.3,""
"Grade level","Sophomore (10th)",133,447,29.8,""
"Grade level","Junior (11th)",125,447,28.0,""
"Grade level","Senior (12th)",49,447,11.0,""
"metadata","Source","","","","AI Vanguard 2025 Student AI Policy Survey; Google Form fielded Aug 25 - Dec 17, 2025; 447 submitted responses (12 exact-duplicate rows retained and disclosed); convenience sample, six Southern California high schools; aivanguard.org/research/student-ai-survey"
